"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24788","testLogInFunctionality","Default Suite","Fri Jul 19 00:33:52 UTC 2024","passed","Fri Jul 19 00:34:17 UTC 2024","tests.LoginFunctionality.LoginTest","ARMS_SELENIUM_AUTOMATION","tests.LoginFunctionality.LoginTest","testLogInFunctionality"
"","2","test description","Default Suite","Thu Aug 22 00:43:27 UTC 2024","skipped","Thu Aug 22 00:43:27 UTC 2024","tests.Leaves.Settings.LeavesType","ARMS_SELENIUM_AUTOMATION","tests.Leaves.Settings.LeavesType","performAddLeaveTypeTest"
"","1","setUp","Default Suite","Thu Oct 03 11:03:08 UTC 2024","broken","Thu Oct 03 11:03:08 UTC 2024","tests.Logout.LogoutTest","OrangeHRM_Automation","tests.Logout.LogoutTest","setUp"
"","845","shouldCancelDeleteJobTitles","All Test Suite","Wed Jan 22 23:26:21 UTC 2025","passed","Wed Jan 22 23:26:21 UTC 2025","tests.Admin.Job.JobTitle.JobTitleTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.Admin.Job.JobTitle.JobTitleTest","shouldCancelDeleteJobTitles"
"","5","setUp","Default Suite","Thu Dec 19 11:15:08 UTC 2024","failed","Thu Dec 19 11:15:08 UTC 2024","tests.Admin.UserManagement.UserManagementTest","OrangeHRM_Automation","tests.Admin.UserManagement.UserManagementTest","setUp"
"","6477","validateLoginFunctionality","Default Suite","Fri Sep 06 23:14:05 UTC 2024","passed","Fri Sep 06 23:14:12 UTC 2024","tests.LoginFunctionality.Login","OrangeHRM_Automation","tests.LoginFunctionality.Login","validateLoginFunctionality"
"","4","setUp","Default Suite","Tue Dec 17 09:03:48 UTC 2024","broken","Tue Dec 17 09:03:48 UTC 2024","tests.Admin.Job.JobTitle.JobTitleTest","OrangeHRM_Automation","tests.Admin.Job.JobTitle.JobTitleTest","setUp"
"","11607","loginUnsuccessful","All Test Suite","Thu Oct 03 09:37:55 UTC 2024","failed","Thu Oct 03 09:38:06 UTC 2024","tests.LoginFunctionality.LoginUnsuccessfulTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.LoginFunctionality.LoginUnsuccessfulTest","loginUnsuccessful"
"","5176","logout","Default Suite","Sat Dec 14 21:08:31 UTC 2024","passed","Sat Dec 14 21:08:36 UTC 2024","tests.Logout.LogoutTest","OrangeHRM_Automation","tests.Logout.LogoutTest","logout"
"","11373","loginSuccessfully","All Test Suite","Thu Oct 03 09:37:43 UTC 2024","passed","Thu Oct 03 09:37:55 UTC 2024","tests.LoginFunctionality.LoginSuccessTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.LoginFunctionality.LoginSuccessTest","loginSuccessfully"
"","5137","createJobTitle","Default Suite","Tue Dec 17 00:08:39 UTC 2024","passed","Tue Dec 17 00:08:44 UTC 2024","tests.Admin.Job.JobTitle.JobTitleTest","OrangeHRM_Automation","tests.Admin.Job.JobTitle.JobTitleTest","createJobTitle"
"","39568","leaveHomePageTest","Default Suite","Wed Jul 24 23:31:16 UTC 2024","passed","Wed Jul 24 23:31:56 UTC 2024","tests.Leaves.HomePage.HomePage","ARMS_SELENIUM_AUTOMATION","tests.Leaves.HomePage.HomePage","leaveHomePageTest"
"","1","setUp","Default Suite","Thu Aug 22 00:43:26 UTC 2024","failed","Thu Aug 22 00:43:27 UTC 2024","tests.Leaves.Settings.LeavesType","ARMS_SELENIUM_AUTOMATION","tests.Leaves.Settings.LeavesType","setUp"
"","28524","logInFunctionality","Default Suite","Thu Jul 18 22:58:51 UTC 2024","passed","Thu Jul 18 22:59:20 UTC 2024","tests.LoginFunctionality.LoginTest","ARMS_SELENIUM_AUTOMATION","tests.LoginFunctionality.LoginTest","logInFunctionality"
"","71189","leaveHomePageTest","Default Suite","Wed Jul 24 22:50:50 UTC 2024","passed","Wed Jul 24 22:52:01 UTC 2024","tests.Leaves.HomePage.LeavesHomePage","ARMS_SELENIUM_AUTOMATION","tests.Leaves.HomePage.LeavesHomePage","leaveHomePageTest"
"","9121","loginSuccessfully","All Test Suite","Wed Jan 22 23:25:20 UTC 2025","passed","Wed Jan 22 23:25:29 UTC 2025","tests.Login.LoginSuccessTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.Login.LoginSuccessTest","loginSuccessfully"
"","0","tearDown","All Test Suite","Wed Nov 20 22:05:48 UTC 2024","failed","Wed Nov 20 22:05:48 UTC 2024","tests.Login.LoginSuccessTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.Login.LoginSuccessTest","tearDown"
"","5","tearDown","Default Suite","Sun Jan 19 23:14:02 UTC 2025","failed","Sun Jan 19 23:14:02 UTC 2025","tests.Admin.Job.JobTitle.JobTitleTest","OrangeHRM_Automation","tests.Admin.Job.JobTitle.JobTitleTest","tearDown"
"","87565","leavePageTest","Default Suite","Wed Jul 24 22:30:40 UTC 2024","passed","Wed Jul 24 22:32:08 UTC 2024","tests.LoginFunctionality.AppsIcon","ARMS_SELENIUM_AUTOMATION","tests.LoginFunctionality.AppsIcon","leavePageTest"
"","4971","createUser","All Test Suite","Wed Jan 22 23:25:41 UTC 2025","passed","Wed Jan 22 23:25:46 UTC 2025","tests.Admin.UserManagement.UserManagementTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.Admin.UserManagement.UserManagementTest","createUser"
"","0","tearDown","Default Suite","Thu Oct 03 14:27:35 UTC 2024","broken","Thu Oct 03 14:27:35 UTC 2024","tests.Admin.UserManagement.UserManagementTest","OrangeHRM_Automation","tests.Admin.UserManagement.UserManagementTest","tearDown"
"","16706","validateLoginFunctionality","Default Suite","Sat Sep 07 00:40:15 UTC 2024","passed","Sat Sep 07 00:40:32 UTC 2024","tests.LoginFunctionality.LoginSuccessTest","OrangeHRM_Automation","tests.LoginFunctionality.LoginSuccessTest","validateLoginFunctionality"
"","11658","testLogInFunctionality","Default Suite","Tue Sep 03 22:58:24 UTC 2024","passed","Tue Sep 03 22:58:36 UTC 2024","tests.LoginFunctionality.Login","OrangeHRM_Automation","tests.LoginFunctionality.Login","testLogInFunctionality"
"","1614","shouldDeleteJobTitles","All Test Suite","Wed Jan 22 23:26:12 UTC 2025","passed","Wed Jan 22 23:26:14 UTC 2025","tests.Admin.Job.JobTitle.JobTitleTest","C:/Users/TahiruYussif/Projects/OrangeHRM_Automation","tests.Admin.Job.JobTitle.JobTitleTest","shouldDeleteJobTitles"
"","18","verifyUserManagementPage","Default Suite","Thu Oct 03 11:28:39 UTC 2024","failed","Thu Oct 03 11:28:39 UTC 2024","tests.Admin.UserManagement.UserManagementTest","OrangeHRM_Automation","tests.Admin.UserManagement.UserManagementTest","verifyUserManagementPage"
